Kurbelwinkel;P_ZYL1;Pcomp1
Grad;bar;bar
-360;1,086;
-359;1,086;
-358;1,086;
-357;1,065;
-356;1,051;
-355;1,037;
-354;1,037;
-353;1,015;
-352;1,022;
-351;1,022;
-350;0,979;
-349;0,958;
-348;0,93;
-347;0,958;
-346;0,951;
-345;0,951;
-344;0,915;
-343;0,88;
-342;0,901;
-341;0,894;
-340;0,901;
-339;0,873;
-338;0,887;
-337;0,88;
-336;0,873;
-335;0,858;
-334;0,873;
-333;0,858;
-332;0,873;
-331;0,873;
-330;0,865;
-329;0,873;
-328;0,844;
-327;0,851;
-326;0,865;
-325;0,894;
-324;0,873;
-323;0,851;
-322;0,858;
-321;0,908;
-320;0,894;
-319;0,88;
-318;0,865;
-317;0,88;
-316;0,865;
-315;0,88;
-314;0,865;
-313;0,865;
-312;0,873;
-311;0,865;
-310;0,865;
-309;0,851;
-308;0,837;
-307;0,858;
-306;0,73;
-305;0,808;
-304;0,83;
-303;0,837;
-302;0,837;
-301;0,844;
-300;0,851;
-299;0,844;
-298;0,844;
-297;0,83;
-296;0,837;
-295;0,837;
-294;0,865;
-293;0,83;
-292;0,844;
-291;0,837;
-290;0,816;
-289;0,816;
-288;0,844;
-287;0,837;
-286;0,83;
-285;0,794;
-284;0,823;
-283;0,83;
-282;0,823;
-281;0,816;
-280;0,808;
-279;0,823;
-278;0,78;
-277;0,83;
-276;0,794;
-275;0,801;
-274;0,794;
-273;0,851;
-272;0,816;
-271;0,801;
-270;0,808;
-269;0,823;
-268;0,816;
-267;0,787;
-266;0,794;
-265;0,773;
-264;0,787;
-263;0,78;
-262;0,787;
-261;0,78;
-260;0,744;
-259;0,794;
-258;0,801;
-257;0,744;
-256;0,773;
-255;0,78;
-254;0,801;
-253;0,759;
-252;0,794;
-251;0,78;
-250;0,773;
-249;0,751;
-248;0,751;
-247;0,737;
-246;0,759;
-245;0,773;
-244;0,737;
-243;0,759;
-242;0,773;
-241;0,766;
-240;0,766;
-239;0,751;
-238;0,787;
-237;0,759;
-236;0,766;
-235;0,801;
-234;0,766;
-233;0,773;
-232;0,766;
-231;0,773;
-230;0,787;
-229;0,766;
-228;0,787;
-227;0,73;
-226;0,759;
-225;0,773;
-224;0,787;
-223;0,794;
-222;0,787;
-221;0,787;
-220;0,766;
-219;0,787;
-218;0,787;
-217;0,773;
-216;0,773;
-215;0,773;
-214;0,766;
-213;0,78;
-212;0,794;
-211;0,794;
-210;0,773;
-209;0,78;
-208;0,801;
-207;0,787;
-206;0,801;
-205;0,794;
-204;0,766;
-203;0,78;
-202;0,766;
-201;0,78;
-200;0,787;
-199;0,787;
-198;0,787;
-197;0,787;
-196;0,773;
-195;0,773;
-194;0,78;
-193;0,794;
-192;0,766;
-191;0,759;
-190;0,787;
-189;0,744;
-188;0,773;
-187;0,794;
-186;0,773;
-185;0,759;
-184;0,773;
-183;0,787;
-182;0,766;
-181;0,794;
-180;0,801;0,801
-179;0,78;0,78
-178;0,808;0,808
-177;0,794;0,794
-176;0,83;0,83
-175;0,851;0,851
-174;0,801;0,801
-173;0,801;0,801
-172;0,808;0,808
-171;0,816;0,816
-170;0,816;0,816
-169;0,83;0,83
-168;0,816;0,816
-167;0,816;0,816
-166;0,83;0,83
-165;0,83;0,83
-164;0,83;0,83
-163;0,844;0,844
-162;0,83;0,83
-161;0,78;0,78
-160;0,837;0,837
-159;0,816;0,816
-158;0,823;0,823
-157;0,808;0,808
-156;0,83;0,83
-155;0,801;0,801
-154;0,83;0,83
-153;0,844;0,844
-152;0,83;0,83
-151;0,823;0,823
-150;0,816;0,816
-149;0,823;0,823
-148;0,816;0,816
-147;0,823;0,823
-146;0,823;0,823
-145;0,83;0,83
-144;0,823;0,823
-143;0,858;0,858
-142;0,851;0,851
-141;0,858;0,858
-140;0,88;0,88
-139;0,851;0,851
-138;0,858;0,858
-137;0,873;0,873
-136;0,865;0,865
-135;0,88;0,88
-134;0,873;0,873
-133;0,894;0,894
-132;0,851;0,851
-131;0,88;0,88
-130;0,894;0,894
-129;0,965;0,965
-128;0,937;0,937
-127;0,887;0,887
-126;0,887;0,887
-125;0,937;0,937
-124;0,915;0,915
-123;0,972;0,972
-122;0,93;0,93
-121;0,915;0,915
-120;0,944;0,944
-119;0,987;0,987
-118;0,951;0,951
-117;0,994;0,994
-116;1,022;1,022
-115;1,015;1,015
-114;1,037;1,037
-113;1,072;1,072
-112;1,044;1,044
-111;1,037;1,037
-110;1,044;1,044
-109;1,044;1,044
-108;1,079;1,079
-107;1,072;1,072
-106;1,044;1,044
-105;1,079;1,079
-104;1,065;1,065
-103;1,108;1,108
-102;1,115;1,115
-101;1,115;1,115
-100;1,136;1,136
-99;1,143;1,143
-98;1,129;1,129
-97;1,143;1,143
-96;1,115;1,115
-95;1,208;1,208
-94;1,186;1,186
-93;1,229;1,229
-92;1,272;1,272
-91;1,293;1,293
-90;1,3;1,3
-89;1,35;1,35
-88;1,343;1,343
-87;1,35;1,35
-86;1,364;1,364
-85;1,407;1,407
-84;1,436;1,436
-83;1,464;1,464
-82;1,478;1,478
-81;1,514;1,514
-80;1,55;1,55
-79;1,571;1,571
-78;1,585;1,585
-77;1,614;1,614
-76;1,671;1,671
-75;1,692;1,692
-74;1,749;1,749
-73;1,763;1,763
-72;1,806;1,806
-71;1,835;1,835
-70;1,92;1,92
-69;1,927;1,927
-68;2,013;2,013
-67;2,02;2,02
-66;2,098;2,098
-65;2,127;2,127
-64;2,184;2,184
-63;2,205;2,205
-62;2,262;2,262
-61;2,312;2,312
-60;2,376;2,376
-59;2,455;2,455
-58;2,49;2,49
-57;2,569;2,569
-56;2,633;2,633
-55;2,69;2,69
-54;2,74;2,74
-53;2,832;2,832
-52;2,911;2,911
-51;3,018;3,018
-50;3,075;3,075
-49;3,16;3,16
-48;3,274;3,274
-47;3,353;3,353
-46;3,481;3,481
-45;3,559;3,559
-44;3,695;3,695
-43;3,802;3,802
-42;3,937;3,937
-41;4,058;4,058
-40;4,158;4,158
-39;4,308;4,308
-38;4,457;4,457
-37;4,628;4,628
-36;4,728;4,728
-35;4,871;4,871
-34;5,092;5,092
-33;5,241;5,241
-32;5,434;5,434
-31;5,562;5,562
-30;5,754;5,754
-29;5,968;5,968
-28;6,132;6,132
-27;6,296;6,296
-26;6,595;6,595
-25;6,738;6,738
-24;6,973;6,973
-23;7,144;7,144
-22;7,387;7,387
-21;7,615;7,615
-20;7,807;7,824
-19;8,035;8,033
-18;8,299;8,242
-17;8,498;8,449
-16;8,705;8,653
-15;8,969;8,853
-14;9,197;9,049
-13;9,468;9,238
-12;9,71;9,42
-11;9,959;9,593
-10;10,244;9,757
-9;10,522;9,91
-8;10,807;10,05
-7;11,1;10,177
-6;11,406;10,289
-5;11,748;10,386
-4;12,097;10,467
-3;12,432;10,53
-2;12,782;10,576
-1;13,166;10,604
0;13,509;10,613
1;13,908;10,604
2;14,3;10,576
3;14,677;10,53
4;15,069;10,467
5;15,454;10,386
6;15,782;10,289
7;16,138;10,177
8;16,452;10,05
9;16,73;9,91
10;16,958;9,757
11;17,229;9,593
12;17,464;9,42
13;17,699;9,238
14;17,941;9,049
15;18,134;8,853
16;18,326;8,653
17;18,526;8,449
18;18,633;8,242
19;18,775;8,033
20;18,911;7,824
21;18,953;7,615
22;18,996;7,406
23;19,039;7,199
24;19,046;6,995
25;19,067;6,793
26;19,067;6,594
27;18,989;6,399
28;18,961;6,208
29;18,889;6,021
30;18,747;5,839
31;18,576;5,661
32;18,447;5,488
33;18,212;5,32
34;17,977;5,157
35;17,685;4,999
36;17,357;4,846
37;17,051;4,698
38;16,723;4,555
39;16,324;4,417
40;15,974;4,283
41;15,625;4,154
42;15,262;4,03
43;14,891;3,91
44;14,549;3,795
45;14,193;3,684
46;13,822;3,577
47;13,473;3,474
48;13,174;3,375
49;12,817;3,279
50;12,468;3,187
51;12,154;3,099
52;11,855;3,014
53;11,534;2,932
54;11,228;2,853
55;10,921;2,777
56;10,672;2,704
57;10,366;2,634
58;10,123;2,567
59;9,881;2,502
60;9,617;2,439
61;9,382;2,379
62;9,161;2,321
63;9,054;2,265
64;8,748;2,212
65;8,534;2,16
66;8,37;2,11
67;8,163;2,062
68;7,978;2,016
69;7,807;1,971
70;7,657;1,929
71;7,472;1,887
72;7,322;1,847
73;7,18;1,809
74;7,03;1,772
75;6,888;1,736
76;6,738;1,702
77;6,61;1,668
78;6,481;1,636
79;6,182;1,605
80;6,203;1,575
81;6,118;1,546
82;6,011;1,519
83;5,883;1,492
84;5,754;1,466
85;5,683;1,44
86;5,555;1,416
87;5,477;1,393
88;5,398;1,37
89;5,298;1,348
90;5,206;1,327
91;5,149;1,306
92;5,049;1,286
93;4,985;1,267
94;4,899;1,249
95;4,842;1,231
96;4,764;1,213
97;4,693;1,196
98;4,636;1,18
99;4,557;1,164
100;4,522;1,149
101;4,457;1,134
102;4,415;1,12
103;4,329;1,106
104;4,279;1,092
105;4,229;1,079
106;4,179;1,067
107;4,115;1,055
108;4,08;1,043
109;4,016;1,031
110;3,966;1,02
111;3,916;1,009
112;3,873;0,999
113;3,859;0,989
114;3,809;0,979
115;3,78;0,969
116;3,745;0,96
117;3,73;0,951
118;3,666;0,942
119;3,666;0,934
120;3,609;0,926
121;3,581;0,918
122;3,559;0,91
123;3,502;0,903
124;3,467;0,896
125;3,445;0,889
126;3,417;0,882
127;3,374;0,875
128;3,289;0,869
129;3,289;0,863
130;3,289;0,857
131;3,239;0,851
132;3,217;0,845
133;3,182;0,84
134;3,139;0,835
135;3,11;0,83
136;3,082;0,825
137;3,046;0,82
138;3,011;0,815
139;3,004;0,811
140;2,975;0,807
141;2,947;0,803
142;2,932;0,798
143;2,939;0,795
144;2,904;0,791
145;2,861;0,787
146;2,832;0,784
147;2,804;0,78
148;2,775;0,777
149;2,74;0,774
150;2,726;0,771
151;2,661;0,768
152;2,697;0,766
153;2,64;0,763
154;2,59;0,76
155;2,562;0,758
156;2,54;0,756
157;2,505;0,754
158;2,455;0,751
159;2,426;0,75
160;2,426;0,748
161;2,334;0,746
162;2,319;0,744
163;2,284;0,743
164;2,227;0,741
165;2,191;0,74
166;2,17;0,738
167;2,134;0,737
168;2,106;0,736
169;2,034;0,735
170;1,977;0,734
171;1,977;0,733
172;1,892;0,733
173;1,892;0,732
174;1,87;0,731
175;1,856;0,731
176;1,735;0,73
177;1,721;0,73
178;1,678;0,73
179;1,585;0,73
180;1,635;0,73
181;1,543;
182;1,55;
183;1,464;
184;1,464;
185;1,407;
186;1,371;
187;1,336;
188;1,336;
189;1,329;
190;1,3;
191;1,293;
192;1,25;
193;1,243;
194;1,229;
195;1,2;
196;1,215;
197;1,158;
198;1,143;
199;1,158;
200;1,115;
201;1,094;
202;1,086;
203;1,108;
204;1,065;
205;1,058;
206;1,065;
207;1,051;
208;1,079;
209;1,044;
210;1,058;
211;1,072;
212;1,029;
213;1,051;
214;1,051;
215;1,044;
216;1,051;
217;1,079;
218;1,065;
219;1,065;
220;1,072;
221;1,072;
222;1,072;
223;1,072;
224;1,122;
225;1,065;
226;1,051;
227;1,072;
228;1,086;
229;1,086;
230;1,037;
231;1,037;
232;1,058;
233;1,065;
234;1,044;
235;1,094;
236;1,094;
237;1,129;
238;1,129;
239;1,136;
240;1,129;
241;1,143;
242;1,165;
243;1,065;
244;1,172;
245;1,136;
246;1,158;
247;1,143;
248;1,136;
249;1,151;
250;1,151;
251;1,158;
252;1,136;
253;1,158;
254;1,165;
255;1,129;
256;1,314;
257;1,193;
258;1,186;
259;1,2;
260;1,186;
261;1,229;
262;1,222;
263;1,208;
264;1,243;
265;1,215;
266;1,2;
267;1,215;
268;1,2;
269;1,208;
270;1,215;
271;1,222;
272;1,243;
273;1,172;
274;1,193;
275;1,179;
276;1,165;
277;1,179;
278;1,179;
279;1,165;
280;1,172;
281;1,151;
282;1,151;
283;1,172;
284;1,165;
285;1,179;
286;1,179;
287;1,165;
288;1,158;
289;1,151;
290;1,158;
291;1,108;
292;1,151;
293;1,158;
294;1,151;
295;1,151;
296;1,143;
297;1,136;
298;1,136;
299;1,158;
300;1,165;
301;1,143;
302;1,172;
303;1,172;
304;1,165;
305;1,151;
306;1,165;
307;1,165;
308;1,158;
309;1,165;
310;1,179;
311;1,179;
312;1,186;
313;1,193;
314;1,179;
315;1,151;
316;1,165;
317;1,179;
318;1,193;
319;1,172;
320;0,965;
321;1,143;
322;1,151;
323;1,136;
324;1,151;
325;1,158;
326;1,122;
327;1,122;
328;1,108;
329;1,122;
330;1,136;
331;1,151;
332;1,136;
333;1,143;
334;1,158;
335;1,129;
336;1,151;
337;1,136;
338;1,136;
339;1,143;
340;1,129;
341;1,136;
342;1,129;
343;1,122;
344;1,143;
345;1,122;
346;1,151;
347;1,079;
348;1,129;
349;1,115;
350;1,122;
351;1,115;
352;1,094;
353;1,158;
354;1,108;
355;1,122;
356;1,122;
357;1,136;
358;1,094;
359;1,115;
